iter	Passed	Remaining
190	45207	11789193
191	45409	11780050
192	45639	11777962
193	45845	11770077
194	46076	11768347
195	46314	11768703
196	46536	11764758
197	46758	11760877
198	46982	11757628
199	47216	11756808
200	47430	11751263
201	47640	11744517
202	47852	11738397
203	48078	11735792
204	48298	11731743
205	48517	11727599
206	48750	11726752
207	48979	11724860
208	49217	11725316
209	49461	11727115
210	49688	11724784
211	49901	11719358
212	50116	11714364
213	50348	11713334
214	50573	11710622
215	50927	11737927
216	51206	11747439
217	51498	11760124
218	51858	11788049
219	52161	11802763
220	52541	11834656
221	52757	11829674
222	53107	11854292
223	53350	11855277
224	53700	11879640
225	53956	11883360
226	54170	11877758
227	54407	11877083
228	54635	11874407
229	54862	11871694
230	55096	11870613
231	55306	11864163
232	55530	11860851
233	55765	11859900
234	55994	11857740
235	56244	11859941
236	56499	11863214
237	56748	11865101
238	56983	11864330
239	57263	11872635
240	57548	11882048
241	57797	11883779
242	58065	11889630
243	58305	11889539
244	58532	11886964
245	58795	11891566
246	59115	11907621
247	59365	11909396
248	59599	11908249
249	59821	11904412
250	60030	11898243
251	60366	11917209
252	60629	11921556
253	60891	11925655
254	61153	11929739
255	61404	11931688
256	61655	11933603
257	61865	11927639
258	62109	11928106
259	62342	11926526
260	62633	11936149
261	62855	11932461
262	63061	11925845
263	63292	11923988
264	63509	11919406
265	63736	11916791
266	63970	11915531
267	64200	11913530
268	64420	11909602
269	64661	11909623
270	64920	11913094
271	65141	11909454
272	65378	11908671
273	65597	11904740
274	65815	11900595
275	66074	11903862
276	66277	11897083
277	66502	11894344
278	66771	11899432
279	67098	11914859
280	67353	11917175
281	67728	11940925
282	68124	11967930
283	68385	11971245
284	68597	11966002
285	68835	11965377
286	69121	11973001
287	69410	11980980
288	69643	11979419
289	69883	11979036
290	70135	11980676
291	70358	11977414
292	70588	11975232
293	70813	11972264
294	71040	11969708
295	71272	11968070
296	71508	11966985
297	71736	11964624
298	72109	11986262
299	72394	11993310
300	72705	12004678
301	72945	12004150
302	73189	12004349
303	73536	12021277
304	73767	12019338
305	73981	12014439
306	74222	12014171
307	74446	12010959
308	74675	12008724
309	74925	12009792
310	75192	12013569
311	75446	12015324
312	75697	12016596
313	75914	12012460
314	76158	12012426
315	76373	12008091
316	76605	12006227
317	76815	12001034
318	77037	11997870
319	77302	12001271
320	77523	11997738
321	77738	11993494
322	77970	11991822
323	78215	11992063
324	78428	11987465
325	78659	11985730
326	78891	11983953
327	79127	11983052
328	79339	11978376
329	79594	11980135
330	79815	11976876
331	80065	11978010
332	80316	11979226
333	80537	11975950
334	80767	11974081
335	80996	11972036
336	81272	11977003
337	81492	11973601
338	81718	11971141
339	81966	11971893
340	82201	11970844
341	82439	11970057
342	82695	11972086
343	82937	11971862
344	83173	11970933
345	83421	11971642
346	83625	11966115
347	83857	11964688
348	84082	11962077
349	84342	11964567
350	84614	11968736
351	84856	11968638
352	85089	11967262
353	85305	11963561
354	85560	11965265
355	85778	11961801
356	86023	11962094
357	86246	11959295
358	86480	11958169
359	86731	11959286
360	86951	11956124
361	87168	11952632
362	87416	11953431
363	87648	11952028
364	87894	11952472
365	88145	11953545
366	88366	11950689
367	88589	11948082
368	88835	11948455
369	89061	11946241
370	89285	11943757
371	89509	11941372
372	89719	11936967
373	89953	11935930
374	90178	11933672
375	90420	11933528
376	90680	11935866
377	90909	11934205
378	91161	11935404
379	91373	11931475
380	91620	11932097
381	91832	11928167
382	92054	11925451
383	92290	11924747
384	92514	11922359
385	92750	11921616
386	92968	11918513
387	93206	11917906
388	93443	11917260
389	93683	11917052
390	93901	11914004
391	94117	11910606
392	94355	11910209
393	94581	11908093
394	94810	11906496
395	95024	11903030
396	95275	11904159
397	95537	11906623
398	95761	11904391
399	95988	11902550
400	96233	11902948
401	96457	11900792
402	96702	11901156
403	97030	11911744
404	97259	11910137
405	97483	11907812
406	97730	11908441
407	97947	11905371
408	98172	11903301
409	98415	11903504
410	98629	11900130
411	98877	11900808
412	99109	11899659
413	99353	11899906
414	99568	11896631
415	99801	11895559
416	100056	11897098
417	100274	11894315
418	100509	11893501
419	100735	11891532
420	100987	11892744
421	101195	11888751
422	101424	11887233
423	101666	11887340
424	101939	11890899
425	102154	11887810
426	102395	11887746
427	102633	11887225
428	102888	11888749
429	103135	11889392
430	103349	11886102
431	103588	11885802
432	103803	11882736
433	104031	11881136
434	104265	11880236
435	104531	11883015
436	104751	11880489
437	104997	11881032
438	105220	11878928
439	105473	11880194
440	105708	11879338
