iter	Logloss
146	0.3919791176
147	0.3918646779
148	0.3917360691
149	0.3916356692
150	0.3914899912
151	0.3913388045
152	0.3911979193
153	0.3910845323
154	0.3909418905
155	0.3908314293
156	0.3906781301
157	0.3904906039
158	0.3902882306
159	0.3901344104
160	0.3899505627
161	0.3897917941
162	0.389602944
163	0.3894184241
164	0.3892804021
165	0.3891407017
166	0.3889934402
167	0.3888521299
168	0.3887374221
169	0.3886069223
170	0.3884041554
171	0.3881880441
172	0.3880622505
173	0.3879369893
174	0.3877164405
175	0.3875233385
176	0.3874139933
177	0.38723992
178	0.3871484594
179	0.3869893685
180	0.3867800805
181	0.3866487218
182	0.3865425475
183	0.3864174829
184	0.3863070467
185	0.3861730002
186	0.3860148019
187	0.3858278084
188	0.3856553566
189	0.385546527
190	0.3854201762
191	0.3853364564
192	0.3851514216
193	0.3850439885
194	0.384888585
195	0.3846940515
196	0.384599566
197	0.3844462847
198	0.3843168515
199	0.3842035542
200	0.3840949471
201	0.3840020052
202	0.3838260076
203	0.3836593433
204	0.3835288498
205	0.3834301917
206	0.3832850221
207	0.3831377514
208	0.3829960958
209	0.3827736298
210	0.3826264596
211	0.3825460818
212	0.3824214649
213	0.3822549631
214	0.3821689721
215	0.3820401004
216	0.3819231107
217	0.3817914573
218	0.3816298924
219	0.38151445
220	0.3813823737
221	0.3812597068
222	0.3810728366
223	0.3809733785
224	0.3808500127
225	0.3807297205
226	0.3806255886
227	0.380460854
228	0.3803154746
229	0.3802252366
230	0.3801465767
231	0.3800769132
232	0.3799555445
233	0.3798588912
234	0.3797403247
235	0.3796180085
236	0.3794871267
237	0.3793959001
238	0.379316614
239	0.3791410963
240	0.3790157027
241	0.3788434841
242	0.3787389604
243	0.3785720117
244	0.3784383278
245	0.37830454
246	0.3781652396
247	0.3780341898
248	0.377937282
249	0.3778249794
250	0.3777503139
251	0.377579855
252	0.377462018
253	0.3773710291
254	0.3771794116
255	0.3770130261
256	0.3769168472
257	0.3768101199
258	0.3766928549
259	0.3765392515
260	0.3763532263
261	0.3762462986
262	0.3761703071
263	0.3760533225
264	0.3759282268
265	0.3758336086
266	0.3757297013
267	0.3756508243
268	0.375556107
269	0.375453358
270	0.3753215711
271	0.375186592
272	0.3750354772
273	0.3748985503
274	0.3747403018
275	0.3746423054
276	0.3745860094
277	0.3744160472
278	0.3743275338
279	0.3742231078
280	0.3740621243
281	0.3739273714
282	0.3737978824
283	0.373728209
284	0.373641843
285	0.3735310649
286	0.373405548
287	0.373336062
288	0.373158816
289	0.3730369327
290	0.3729113074
291	0.3727775628
292	0.3726457038
293	0.3724986295
294	0.3723132169
295	0.3722345096
296	0.3720523236
297	0.3718673323
298	0.3717632575
299	0.3716495256
300	0.371535799
301	0.3714312175
302	0.3713049815
303	0.371192331
304	0.371128379
305	0.3709843436
306	0.3708830543
307	0.3708021649
308	0.3706770778
309	0.370553834
310	0.3703942618
311	0.3701961064
312	0.3700538477
313	0.3699502083
314	0.369834328
315	0.3697290633
316	0.3696328204
317	0.3695001821
318	0.3694339007
319	0.3693129558
320	0.3692102132
321	0.3690945334
322	0.3690158436
323	0.3689167269
324	0.3688239164
325	0.3686781649
326	0.3685621235
327	0.368463965
328	0.3683456146
329	0.3681970929
330	0.3680913455
331	0.3679435098
332	0.3678207052
333	0.367734954
334	0.3676482349
335	0.3674537665
336	0.3673163304
337	0.3672195439
338	0.3670881737
339	0.3669546183
340	0.3668667936
341	0.3667814034
342	0.3666820987
343	0.3665652378
344	0.3664416616
345	0.3662656743
346	0.3662072482
347	0.3660863995
348	0.3659678843
349	0.3658727787
350	0.3657092222
351	0.3655429709
352	0.3654176998
353	0.3653110903
354	0.3651778197
355	0.3650622852
356	0.3649622062
357	0.3648354475
358	0.36466072
359	0.3645154824
360	0.3644081277
361	0.3643024279
362	0.3641339866
363	0.3640174307
364	0.3639033919
365	0.3637653773
366	0.3635721306
367	0.363446785
368	0.3633080233
369	0.3632080315
370	0.3630669544
371	0.3629046692
372	0.3628126407
373	0.3627216796
374	0.3626147147
375	0.3624750874
376	0.3623378442
377	0.3622138323
378	0.3620233863
379	0.3618972224
380	0.3617219087
381	0.3616062072
382	0.3614733823
383	0.3613242386
384	0.3611633909
385	0.361074255
386	0.3609069342
387	0.360802498
388	0.3606195503
389	0.3604907741
390	0.3603874767
391	0.360279395
392	0.3601530164
393	0.3599702536
394	0.3598167249
395	0.3596709296
396	0.3595207229
397	0.3593512308
398	0.3592338373
399	0.3591488665
400	0.3590356432
401	0.3589246794
402	0.3587926443
403	0.358620055
404	0.3585142787
405	0.3584500035
406	0.3583221583
407	0.3581725247
408	0.3580766897
409	0.3579257578
410	0.3577932283
411	0.3576377107
412	0.3575168976
413	0.3573380144
414	0.3571871613
415	0.3570513303
416	0.3569365019
417	0.3568136761
418	0.3567463071
419	0.3566317594
420	0.3564789447
421	0.3564150355
422	0.3562553263
423	0.3561420702
424	0.3560127155
425	0.3559190528
426	0.3557448012
427	0.3556118991
428	0.3555034086
429	0.3554153629
430	0.355267449
431	0.3551237677
432	0.3550195498
433	0.354908763
434	0.3547909865
435	0.3546706879
436	0.354552418
437	0.3544376506
438	0.3542899413
439	0.3541417174
440	0.3540217347
