iter	Logloss
0	0.6706328571
1	0.6502770591
2	0.6318240531
3	0.6152181351
4	0.5993879996
5	0.5857566045
6	0.5732711379
7	0.5614680675
8	0.5507251992
9	0.5405491016
10	0.5314484139
11	0.5238875157
12	0.516439633
13	0.5096063796
14	0.5031778722
15	0.4970104993
16	0.4908634265
17	0.4856428267
18	0.4808840484
19	0.4763357859
20	0.4720907206
21	0.4687283643
22	0.4652859433
23	0.4620488625
24	0.4589744449
25	0.4561491189
26	0.4536955646
27	0.4510373012
28	0.4488759865
29	0.4465350931
30	0.4442495284
31	0.4421851637
32	0.4403668197
33	0.4385339528
34	0.4368049772
35	0.4352132918
36	0.433864136
37	0.4325013
38	0.4312898868
39	0.4301387768
40	0.429051665
41	0.4279488298
42	0.4268599769
43	0.4258956583
44	0.4248318111
45	0.4240205655
46	0.4230863038
47	0.4222412702
48	0.4215117614
49	0.4206702857
50	0.4199217824
51	0.4192589373
52	0.4185186493
53	0.4179439858
54	0.4174215169
55	0.4167966276
56	0.4161127571
57	0.4155773975
58	0.4150270817
59	0.4144480829
60	0.413833043
61	0.4132724195
62	0.4127806088
63	0.412361219
64	0.4119466747
65	0.4115019791
66	0.4110916372
67	0.4106357556
68	0.4101992304
69	0.4098339874
70	0.4094433051
71	0.4090743226
72	0.408703395
73	0.4084237748
74	0.4081143354
75	0.4077555115
76	0.4074154722
77	0.4070342136
78	0.4067521377
79	0.4065408317
80	0.4061480575
81	0.4058338059
82	0.4055590853
83	0.4052262667
84	0.404913827
85	0.4046033682
86	0.404312
87	0.4039659491
88	0.4037774075
89	0.4035288107
90	0.4032697776
91	0.4029584135
92	0.4026770249
93	0.4024614833
94	0.4021719528
95	0.4019474922
96	0.4016393695
97	0.4014506048
98	0.401206049
99	0.4009156343
100	0.4007281637
101	0.4004876197
102	0.4001892429
103	0.3999740806
104	0.3997418577
105	0.3995510943
106	0.3993539427
107	0.3991394931
108	0.3989477591
109	0.3987539933
110	0.3985731921
111	0.3983819599
112	0.398170421
113	0.3979489993
114	0.3978062106
115	0.3975859865
116	0.397368776
117	0.3971714562
118	0.3968866676
119	0.3966639893
120	0.3964943764
121	0.3963566631
122	0.396155667
123	0.395974149
124	0.3957514697
125	0.3955601316
126	0.3953877543
127	0.3951957207
128	0.3949370549
129	0.3946979495
130	0.3945041089
131	0.3943408095
132	0.3941713927
133	0.3940147356
134	0.3938611681
135	0.3937458707
136	0.3935876056
137	0.3934788415
138	0.3933388507
139	0.3931474426
140	0.3929922934
141	0.3928430615
142	0.3926525358
143	0.3924598207
144	0.3923398938
145	0.3921894779
